elapsetime,cpu%,mem%
[17:32:45],0,2.8
[17:32:46],0,2.8
[17:32:47],33.3,2.8
[17:32:48],28.1,2.9
[17:32:49],0,2.9
[17:32:50],51.5,2.9
[17:32:51],45.4,3
[17:32:52],39.3,3
[17:32:53],50,3
[17:32:54],33.3,3
[17:32:55],106,3
[17:32:56],34.3,3.1
[17:32:57],58.8,3.1
[17:32:58],36.3,3.2
[17:32:59],27.2,3.2
[17:33:00],30.3,3.2
[17:33:01],21.2,3.2
[17:33:02],18.1,3.2
[17:33:03],12.1,3.3
[17:33:04],33.3,3.3
[17:33:05],3.1,3.3
[17:33:06],63.6,3.4
[17:33:07],21.2,3.2
[17:33:08],31.2,3.1
[17:33:09],46.8,3.2
[17:33:10],27.2,3.2
[17:33:11],39.3,3.2
[17:33:12],0,3.2
[17:33:13],0,3.2
[17:33:14],0,3.2
[17:33:15],0,3.2
[17:33:16],0,3.2
