elapsetime,cpu%,mem%
[17:22:29],0,2.7
[17:22:30],0,2.7
[17:22:31],0,2.7
[17:22:32],84.3,2.7
[17:22:33],30.3,2.9
[17:22:34],0,2.9
[17:22:35],51.5,2.9
[17:22:36],42.4,2.9
[17:22:37],36.3,2.9
[17:22:38],40.6,2.9
[17:22:39],30.3,3
[17:22:40],34.3,3
[17:22:41],21.2,3
[17:22:42],9,3.1
[17:22:43],109,3.1
[17:22:44],53.1,3.2
[17:22:45],6,3.2
[17:22:46],27.2,3.2
[17:22:47],3.1,3.2
[17:22:48],12.5,3.2
[17:22:49],42.4,3.2
[17:22:50],27.2,3.3
[17:22:51],3.1,3.3
[17:22:52],18.7,3.3
[17:22:53],9,3.3
[17:22:54],33.3,3.3
[17:22:55],6.2,3.4
[17:22:56],15.6,3.4
[17:22:57],53.1,3.4
[17:22:58],0,3.5
[17:22:59],0,3.5
[17:23:00],0,3.5
