elapsetime,cpu%,mem%
[17:25:26],0,2.8
[17:25:27],0,2.8
[17:25:28],0,2.8
[17:25:29],0,2.8
[17:25:30],0,2.8
[17:25:31],0,2.8
[17:25:32],57.5,2.9
[17:25:32],0,2.9
[17:25:33],45.4,2.9
[17:25:34],39.3,2.9
[17:25:35],45.4,3
[17:25:36],56.2,3
[17:25:37],31.2,3
[17:25:38],100,3
[17:25:39],0,3
[17:25:40],157,3
[17:25:41],51.5,3.2
[17:25:42],23.5,3.2
[17:25:43],28.1,3.2
[17:25:44],96.8,3.2
[17:25:45],34.3,3.2
[17:25:46],28.1,3.2
[17:25:47],30.3,3.3
[17:25:48],15.1,3.3
[17:25:49],50,3.3
[17:25:50],30.3,3.3
[17:25:51],6.2,3.4
[17:25:52],0,3.4
[17:25:53],62.5,3.4
[17:25:54],0,3.5
[17:25:55],0,3.5
[17:25:56],0,3.5
