elapsetime,cpu%,mem%
[17:12:55],0,2.7
[17:12:56],42.4,2.7
[17:12:57],39.3,2.8
[17:12:58],33.3,2.9
[17:12:59],51.5,2.9
[17:13:00],42.4,2.9
[17:13:01],42.4,2.9
[17:13:02],37.5,2.9
[17:13:03],25,2.9
[17:13:04],40.6,2.9
[17:13:05],100,3
[17:13:06],34.3,3
[17:13:07],0,3
[17:13:08],15.1,3.1
[17:13:09],30.3,3.1
[17:13:10],15.1,3.1
[17:13:11],30.3,3.1
[17:13:12],93.7,3.1
[17:13:13],15.6,3.2
[17:13:14],25,3.2
[17:13:15],27.2,3.2
[17:13:16],9.3,3.3
[17:13:17],12.5,3.3
[17:13:18],15.1,3.3
[17:13:19],34.3,3.3
[17:13:20],0,3.4
[17:13:21],3.1,3.4
[17:13:22],36.3,3.4
[17:13:23],6,3.4
[17:13:24],0,3.4
[17:13:25],0,3.4
[17:13:26],0,3.4
