elapsetime,cpu%,mem%
[17:29:26],0,2.8
[17:29:27],0,2.8
[17:29:28],0,2.8
[17:29:29],0,2.8
[17:29:30],65.6,2.8
[17:29:31],53.1,2.9
[17:29:32],0,2.9
[17:29:33],46.8,2.9
[17:29:34],50,3
[17:29:35],31.2,3
[17:29:36],36.3,3
[17:29:37],31.2,3
[17:29:38],21.2,3
[17:29:39],21.2,3.1
[17:29:40],28.1,3.1
[17:29:41],156,3.1
[17:29:42],45.4,3.2
[17:29:43],14.7,3.2
[17:29:44],30.3,3.2
[17:29:45],59.3,3.2
[17:29:46],21.8,3.3
[17:29:47],6,3.3
[17:29:48],31.2,3.3
[17:29:49],53.1,3.3
[17:29:50],31.2,3.4
[17:29:51],21.8,3.4
[17:29:52],34.3,3.1
[17:29:53],0,3.2
[17:29:54],0,3.2
[17:29:55],56.2,3.2
[17:29:56],0,3.2
[17:29:57],0,3.2
