elapsetime,cpu%,mem%
[19:10:54],0,2.7
[19:10:55],0,2.7
[19:10:56],0,2.7
[19:10:57],0,2.8
[19:10:58],56.2,2.8
[19:10:59],43.7,2.9
[19:11:00],45.4,2.9
[19:11:01],39.3,2.9
[19:11:02],40.6,2.9
[19:11:03],28.1,2.9
[19:11:04],37.5,2.9
[19:11:05],42.4,2.9
[19:11:06],0,3
[19:11:07],0,3
[19:11:07],136,3.1
[19:11:08],48.4,3.1
[19:11:09],33.3,3.1
[19:11:10],25,3.1
[19:11:11],56.2,3.1
[19:11:12],3.1,3.2
[19:11:13],50,3.2
[19:11:14],25,3.2
[19:11:15],21.8,3.3
[19:11:16],0,3.3
[19:11:17],50,3.3
[19:11:18],28.1,3.3
[19:11:19],25,3.3
[19:11:20],39.3,3.4
[19:11:21],30.3,3.4
[19:11:22],9.3,3.4
[19:11:23],0,3.4
[19:11:24],0,3.4
