elapsetime,cpu%,mem%
[17:03:53],0,2.7
[17:03:54],0,2.7
[17:03:55],24.2,2.7
[17:03:56],53.1,2.8
[17:03:57],45.4,2.8
[17:03:58],33.3,2.9
[17:03:59],39.3,2.9
[17:04:00],37.5,2.9
[17:04:01],24.2,2.9
[17:04:02],21.8,2.9
[17:04:03],31.2,2.9
[17:04:04],12.1,3
[17:04:05],18.7,3
[17:04:06],115,3
[17:04:07],21.8,3.1
[17:04:08],53.1,3.1
[17:04:09],28.1,3.1
[17:04:10],9.3,3.1
[17:04:11],0,3.2
[17:04:11],31.2,3.2
[17:04:12],18.7,3.2
[17:04:13],34.3,3.2
[17:04:14],43.7,3.2
[17:04:15],37.5,3.3
[17:04:16],18.1,3.3
[17:04:17],31.2,3.3
[17:04:18],15.6,3.3
[17:04:19],9.3,3.4
[17:04:20],50,3.4
[17:04:21],0,3.4
[17:04:22],0,3.4
[17:04:23],0,3.4
