Elapse Time,cpu%,mem%
10:24:01,0,3
10:24:02,0,3
10:24:03,78.1,3
10:24:04,103,3
10:24:05,68.7,3.1
10:24:06,75,3.1
10:24:07,42.4,3.1
10:24:08,21.8,3.1
10:24:09,62.5,3.1
10:24:10,53.1,3.2
10:24:11,68.7,3.2
10:24:12,87.5,3.2
10:24:13,46.8,3.2
10:24:14,3,3.3
10:24:15,27.2,3.3
10:24:16,21.8,3.3
10:24:17,63.6,3.3
10:24:18,0,3.3
10:24:19,0,3.3
10:24:20,40.6,3.3
10:24:21,15.6,3.3
10:24:22,43.7,3.3
10:24:23,46.8,3.4
10:24:24,112,3.4
10:24:25,46.8,3.1
10:24:26,46.8,3.1
10:24:27,0,3.1
10:24:28,42.4,3.1
10:24:29,30.3,3.1
10:24:30,37.5,3.1
10:24:31,0,3.1
10:24:32,0,3.2
10:24:33,6.2,3.2
10:24:34,46.8,3.2
10:24:35,9.3,3.2
10:24:36,39.3,3.2
10:24:37,43.7,3.2
10:24:38,50,3.2
10:24:39,28.1,3.2
10:24:40,37.5,3.2
10:24:41,0,3.2
10:24:42,21.2,3.2
10:24:43,46.8,3.2
10:24:44,46.8,3.2
10:24:45,40.6,3.2
10:24:46,37.5,3.2
10:24:47,0,3.3
10:24:48,43.7,3.3
10:24:49,53.1,3.3
10:24:50,59.3,3.3
10:24:51,46.8,3.3
10:24:52,40.6,3.3
10:24:53,43.7,3.3
10:24:54,46.8,3.3
10:24:55,15.6,3.3
10:24:56,31.2,3.3
10:24:57,37.5,3.3
10:24:58,0,3.3
10:24:59,25,3.3
10:25:00,9.3,3.3
10:25:01,0,3.3
10:25:02,18.7,3.3
10:25:03,28.1,3.4
10:25:04,37.5,3.4
10:25:05,37.5,3.4
10:25:06,0,3.4
10:25:07,0,3.4
10:25:08,50,3.4
10:25:09,71.8,3.4
10:25:10,40.6,3.4
10:25:11,0,3.4
10:25:12,0,3.4
10:25:13,34.3,3.4
10:25:14,9.3,3.4
10:25:15,84.3,3.6
10:25:16,0,3.7
10:25:17,12.5,3.7
10:25:18,18.7,3.7
10:25:19,6.2,3.7
10:25:20,6.2,3.7
10:25:21,30.3,3.8
10:25:22,3.1,3.8
10:25:23,3.1,3.8
10:25:24,6.2,3.8
