Elapse Time,cpu%,mem%
13:35:01,0,3
13:35:02,0,3
13:35:03,0,3
13:35:04,0,3
13:35:05,15.6,3
13:35:06,115,3
13:35:07,56.2,3.1
13:35:08,21.8,3.1
13:35:09,56.2,3.1
13:35:10,25,3.1
13:35:11,78.1,3.2
13:35:12,39.3,3.2
13:35:13,68.7,3.2
13:35:14,34.3,3.2
13:35:15,90.9,3.3
13:35:16,9.3,3.3
13:35:17,37.5,3.3
13:35:18,53.1,3.3
13:35:19,6.2,3.3
13:35:20,56.2,3.3
13:35:21,0,3.4
13:35:22,43.7,3.4
13:35:23,0,3.4
13:35:24,0,3.4
13:35:25,31.2,3.4
13:35:26,134,3.4
13:35:27,57.5,3.1
13:35:28,6.2,3.1
13:35:29,31.2,3.1
13:35:30,40.6,3.1
13:35:31,40.6,3.1
13:35:32,25,3.2
13:35:33,43.7,3.2
13:35:34,46.8,3.2
13:35:35,28.1,3.2
13:35:36,24.2,3.2
13:35:37,42.4,3.2
13:35:38,59.3,3.2
13:35:39,25,3.2
13:35:40,31.2,3.2
13:35:41,0,3.2
13:35:42,9.3,3.2
13:35:43,33.3,3.2
13:35:44,53.1,3.2
13:35:45,37.5,3.2
13:35:46,34.3,3.3
13:35:47,3.1,3.3
13:35:48,36.3,3.3
13:35:49,43.7,3.3
13:35:50,45.4,3.3
13:35:51,31.2,3.3
13:35:52,40.6,3.3
13:35:53,9.3,3.3
13:35:54,37.5,3.3
13:35:55,46.8,3.3
13:35:56,34.3,3.3
13:35:57,43.7,3.3
13:35:58,21.8,3.3
13:35:59,18.7,3.3
13:36:00,21.8,3.4
13:36:01,31.2,3.4
13:36:02,40.6,3.4
13:36:03,0,3.4
13:36:04,6.2,3.4
13:36:05,9.3,3.4
13:36:06,50,3.4
13:36:07,9.3,3.4
13:36:08,18.1,3.5
13:36:09,40.6,3.5
13:36:10,0,3.5
13:36:11,0,3.5
13:36:12,0,3.5
13:36:13,46.8,3.5
13:36:14,25,3.5
13:36:15,31.2,3.4
13:36:16,33.3,3.4
13:36:17,24.2,3.5
13:36:18,81.8,3.6
13:36:19,66.6,3.7
13:36:20,25,3.8
13:36:21,71.8,3.8
13:36:22,15.6,3.8
13:36:23,0,3.8
13:36:24,0,3.8
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
