Elapse Time,cpu%,mem%
22:02:01,0,2.9
22:02:02,0,3
22:02:03,59.3,3
22:02:04,71.8,3
22:02:05,31.2,3.1
22:02:06,28.1,3.1
22:02:07,87.5,3.1
22:02:08,15.6,3.2
22:02:09,40.6,3.1
22:02:10,65.6,3.2
22:02:11,68.7,3.2
22:02:12,37.5,3.2
22:02:13,59.3,3.2
22:02:14,68.7,3.3
22:02:15,65.6,3.3
22:02:16,59.3,3.3
22:02:17,40.6,3.3
22:02:18,65.6,3.3
22:02:19,53.1,3.3
22:02:20,28.1,3.3
22:02:21,37.5,3.3
22:02:22,15.6,3.3
22:02:23,46.8,3.4
22:02:24,3.1,3.4
22:02:25,34.3,3.4
22:02:26,0,3.1
22:02:27,53.1,3.1
22:02:28,34.3,3.1
22:02:29,25,3.1
22:02:30,18.7,3.1
22:02:31,12.5,3.1
22:02:32,43.7,3.1
22:02:33,12.1,3.2
22:02:34,28.1,3.2
22:02:35,12.5,3.2
22:02:36,37.5,3.2
22:02:37,28.1,3.2
22:02:38,50,3.2
22:02:39,43.7,3.2
22:02:40,40.6,3.2
22:02:41,37.5,3.2
22:02:42,21.8,3.2
22:02:43,37.5,3.2
22:02:44,46.8,3.2
22:02:45,28.1,3.2
22:02:46,40.6,3.2
22:02:47,37.5,3.2
22:02:48,31.2,3.2
22:02:49,43.7,3.2
22:02:50,37.5,3.3
22:02:51,37.5,3.3
22:02:52,40.6,3.3
22:02:53,43.7,3.3
22:02:54,25,3.3
22:02:55,37.5,3.3
22:02:56,43.7,3.3
22:02:57,0,3.3
22:02:58,31.2,3.3
22:02:59,68.7,3.3
22:03:00,0,3.3
22:03:01,0,3.3
22:03:02,28.1,3.3
22:03:03,0,3.3
22:03:04,0,3.3
22:03:05,34.3,3.3
22:03:06,43.7,3.3
22:03:07,12.5,3.3
22:03:08,34.3,3.3
22:03:09,28.1,3.3
22:03:10,34.3,3.4
22:03:11,53.1,3.4
22:03:12,50,3.4
22:03:13,50,3.4
22:03:14,31.2,3.4
22:03:15,12.5,3.4
22:03:16,31.2,3.4
22:03:17,0,3.4
22:03:18,68.7,3.4
22:03:19,51.5,3.7
22:03:20,28.1,3.7
22:03:21,81.2,3.7
22:03:22,18.7,3.7
22:03:23,0,3.7
22:03:24,0,3.7
