Elapse Time,cpu%,mem%
21:27:01,0,2.9
21:27:02,0,2.9
21:27:03,69.6,2.9
21:27:04,0,3
21:27:05,30.3,3
21:27:06,34.3,3
21:27:07,60.6,3
21:27:08,34.3,3.1
21:27:09,46.8,3.1
21:27:10,69.6,3.1
21:27:11,36.3,3.1
21:27:12,48.4,3.1
21:27:13,69.6,3.1
21:27:14,27.2,3.2
21:27:15,62.5,3.2
21:27:16,42.4,3.2
21:27:17,25,3.2
21:27:18,6,3.2
21:27:19,25,3.2
21:27:20,40.6,3.3
21:27:21,21.8,3.3
21:27:22,62.5,3.3
21:27:23,50,3.3
21:27:24,18.7,3.3
21:27:25,21.2,3.3
21:27:26,0,3.3
21:27:27,27.2,3.3
21:27:28,39.3,3.3
21:27:29,0,3.3
21:27:30,34.3,3.3
21:27:31,6.2,3.4
21:27:32,15.6,3.4
21:27:33,25,3.4
21:27:34,45.4,3.4
21:27:35,12.1,3.4
21:27:36,39.3,3.4
21:27:37,39.3,3.4
21:27:38,31.2,3.4
21:27:39,31.2,3.4
21:27:40,0,3.4
21:27:41,18.7,3.4
21:27:42,18.7,3.5
21:27:43,46.8,3.5
21:27:44,45.4,3.5
21:27:45,31.2,3.5
21:27:46,15.6,3.5
21:27:47,21.2,3.5
21:27:48,15.6,3.5
21:27:49,37.5,3.5
21:27:50,18.7,3.5
21:27:51,36.3,3.6
21:27:52,37.5,3.6
21:27:53,37.5,3.6
21:27:54,30.3,3.6
21:27:55,18.7,3.6
21:27:56,40.6,3.6
21:27:57,43.7,3.6
21:27:58,30.3,3.6
21:27:59,0,3.6
21:28:00,0,3.6
21:28:01,0,3.6
21:28:02,37.5,3.6
21:28:03,34.3,3.6
21:28:04,0,3.6
21:28:05,37.5,3.6
21:28:06,0,3.6
21:28:07,40.6,3.6
21:28:08,62.5,3.6
21:28:09,56.2,3.6
21:28:10,56.2,3.6
21:28:11,37.5,3.7
21:28:12,0,3.7
21:28:13,34.3,3.7
21:28:14,0,3.7
21:28:15,12.5,3.7
21:28:16,84.3,3.7
21:28:17,52.9,3.9
21:28:18,18.7,3.6
21:28:19,75.7,3.6
21:28:20,0,3.6
21:28:21,0,3.6
21:28:22,0,3.6
21:28:23,0,3.6
21:28:24,0,3.6
