Elapse Time,cpu%,mem%
15:11:01,0,2.9
15:11:02,0,2.9
15:11:03,3.1,2.9
15:11:04,54.5,2.9
15:11:05,15.6,2.9
15:11:06,50,3
15:11:07,93.7,3
15:11:08,34.3,3
15:11:09,68.7,3
15:11:10,71.8,3
15:11:11,53.1,3
15:11:12,51.5,3
15:11:13,60.6,3.1
15:11:14,37.5,3.1
15:11:15,81.2,3.1
15:11:16,60.6,3.1
15:11:17,34.3,3.1
15:11:18,66.6,3.1
15:11:19,34.3,3.1
15:11:20,21.8,3.2
15:11:21,56.2,3.2
15:11:22,56.2,3.2
15:11:23,9,3.2
15:11:24,53.1,3.2
15:11:25,0,3.2
15:11:26,0,3.2
15:11:27,30.3,3.2
15:11:28,40.6,3.2
15:11:29,0,3.3
15:11:30,46.8,3.3
15:11:31,0,3.2
15:11:32,50,3.3
15:11:33,43.7,3.3
15:11:34,48.4,3.3
15:11:35,0,3.3
15:11:36,40.6,3.3
15:11:37,40.6,3.3
15:11:38,34.3,3.3
15:11:39,43.7,3.3
15:11:40,54.5,3.3
15:11:41,27.2,3.3
15:11:42,34.3,3.3
15:11:43,39.3,3.4
15:11:44,34.3,3.4
15:11:45,43.7,3.4
15:11:46,34.3,3.4
15:11:47,39.3,3.2
15:11:48,43.7,3.2
15:11:49,25,3.2
15:11:50,53.1,3.2
15:11:51,53.1,3.2
15:11:52,43.7,3.3
15:11:53,0,3.3
15:11:54,46.8,3.3
15:11:55,37.5,3.3
15:11:56,43.7,3.3
15:11:57,46.8,3.3
15:11:58,37.5,3.3
15:11:59,0,3.3
15:12:00,0,3.3
15:12:01,53.1,3.3
15:12:02,3.1,3.3
15:12:03,46.8,3.3
15:12:04,0,3.3
15:12:05,43.7,3.3
15:12:06,34.3,3.3
15:12:07,34.3,3.3
15:12:08,0,3.3
15:12:09,9.3,3.3
15:12:10,46.8,3.3
15:12:11,53.1,3.3
15:12:12,40.6,3.3
15:12:13,46.8,3.3
15:12:14,46.8,3.4
15:12:15,50,3.4
15:12:16,96.9,3.4
15:12:17,45.4,3.7
15:12:18,12.5,3.7
15:12:19,27.2,3.7
15:12:20,3.1,3.7
15:12:21,0,3.7
15:12:22,0,3.7
15:12:23,0,3.7
15:12:24,0,3.7
