Elapse Time,cpu%,mem%
17:05:01,0,2.8
17:05:02,0,2.8
17:05:03,71.8,2.9
17:05:04,3.1,2.9
17:05:05,6.2,2.9
17:05:06,75,2.9
17:05:07,93.7,3
17:05:08,59.3,3
17:05:09,37.5,3
17:05:10,68.7,3
17:05:11,57.5,3
17:05:12,62.5,3
17:05:13,31.2,3
17:05:14,50,3.1
17:05:15,12.5,3.1
17:05:16,0,3.1
17:05:17,40.6,3.1
17:05:18,43.7,3.1
17:05:19,0,3.1
17:05:20,56.2,3.1
17:05:21,0,3.2
17:05:22,6.2,3.2
17:05:23,100,3.2
17:05:24,43.7,3.2
17:05:25,0,3.2
17:05:26,50,3.2
17:05:27,3,3.2
17:05:28,6,3.2
17:05:29,57.5,3.3
17:05:30,25,3.3
17:05:31,0,3.3
17:05:32,53.1,3.3
17:05:33,56.2,3.3
17:05:34,46.8,3.3
17:05:35,42.4,3.3
17:05:36,33.3,3.3
17:05:37,39.3,3.3
17:05:38,31.2,3.3
17:05:39,6.2,3.3
17:05:40,12.5,3.4
17:05:41,37.5,3.4
17:05:42,46.8,3.4
17:05:43,50,3.4
17:05:44,50,3.4
17:05:45,46.8,3.4
17:05:46,34.3,3.4
17:05:47,34.3,3.4
17:05:48,51.5,3.4
17:05:49,36.3,3.5
17:05:50,56.2,3.5
17:05:51,18.7,3.5
17:05:52,40.6,3.5
17:05:53,37.5,3.5
17:05:54,43.7,3.5
17:05:55,31.2,3.5
17:05:56,21.8,3.5
17:05:57,56.2,3.5
17:05:58,39.3,3.5
17:05:59,28.1,3.5
17:06:00,0,3.5
17:06:01,43.7,3.5
17:06:02,37.5,3.5
17:06:03,21.8,3.5
17:06:04,9.3,3.5
17:06:05,40.6,3.5
17:06:06,28.1,3.5
17:06:07,0,3.5
17:06:08,34.3,3.5
17:06:09,12.5,3.5
17:06:10,28.1,3.5
17:06:11,46.8,3.5
17:06:12,62.5,3.5
17:06:13,59.3,3.5
17:06:14,9,3.6
17:06:15,25,3.6
17:06:16,21.8,3.6
17:06:17,15.6,3.6
17:06:18,12.5,3.6
17:06:19,0,3.6
17:06:20,6.2,3.6
17:06:21,53.1,3.9
17:06:22,9,3.9
17:06:23,0,3.9
17:06:24,0,4
