Elapse Time,cpu%,mem%
14:03:01,0,3
14:03:02,0,3
14:03:03,25,3
14:03:04,106,3.1
14:03:05,0,3.1
14:03:06,84.3,3.1
14:03:07,69.6,3.2
14:03:08,50,3.1
14:03:09,62.5,3.1
14:03:10,59.3,3.2
14:03:11,50,3.2
14:03:12,62.5,3.2
14:03:13,48.4,3.2
14:03:14,90.6,3.2
14:03:15,31.2,3
14:03:16,62.5,3
14:03:17,31.2,3
14:03:18,0,3
14:03:19,53.1,3
14:03:20,25,3.1
14:03:21,25,3.1
14:03:22,78.7,3.1
14:03:23,84.3,3.1
14:03:24,62.5,3.1
14:03:25,27.2,3.1
14:03:26,15.6,3.1
14:03:27,42.4,3.1
14:03:28,24.2,3.1
14:03:29,0,3.1
14:03:30,0,3.2
14:03:31,21.8,3.2
14:03:32,40.6,3.2
14:03:33,3.1,3.2
14:03:34,18.7,3.2
14:03:35,37.5,3.2
14:03:36,68.7,3.2
14:03:37,40.6,3.2
14:03:38,34.3,3.2
14:03:39,25,3.2
14:03:40,34.3,3.2
14:03:41,43.7,3.2
14:03:42,37.5,3.2
14:03:43,37.5,3.2
14:03:44,34.3,3.3
14:03:45,6.2,3.3
14:03:46,43.7,3.3
14:03:47,25,3.3
14:03:48,50,3.3
14:03:49,43.7,3.3
14:03:50,50,3.3
14:03:51,34.3,3.3
14:03:52,40.6,3.3
14:03:53,15.6,3.3
14:03:54,37.5,3.4
14:03:55,34.3,3.4
14:03:56,28.1,3.4
14:03:57,28.1,3.4
14:03:58,31.2,3.4
14:03:59,28.1,3.4
14:04:00,21.8,3.4
14:04:01,25,3.4
14:04:02,31.2,3.4
14:04:03,30.3,3.4
14:04:04,3.1,3.4
14:04:05,62.5,3.4
14:04:06,21.8,3.4
14:04:07,57.5,3.4
14:04:08,31.2,3.4
14:04:09,31.2,3.4
14:04:10,6.2,3.5
14:04:11,28.1,3.5
14:04:12,37.5,3.5
14:04:13,78.1,3.5
14:04:14,51.5,3.7
14:04:15,0,3.8
14:04:16,12.5,3.8
14:04:17,0,3.8
14:04:18,3.1,3.8
14:04:19,0,3.8
14:04:20,0,3.8
14:04:21,3.1,3.8
14:04:22,3.1,3.8
14:04:23,3.1,3.8
14:04:24,3.1,3.8
