Elapse Time,cpu%,mem%
17:05:01,0,2.8
17:05:02,0,2.8
17:05:03,78.7,2.9
17:05:04,69.6,2.9
17:05:05,43.7,3
17:05:06,65.6,3
17:05:07,53.1,3
17:05:08,63.6,3
17:05:09,15.6,3
17:05:10,72.7,3
17:05:11,15.6,3
17:05:12,36.3,3.1
17:05:13,25,3.1
17:05:14,15.6,3.1
17:05:15,62.5,3.1
17:05:16,28.1,3.1
17:05:17,78.1,3.1
17:05:18,0,3.1
17:05:19,59.3,3.1
17:05:20,15.6,3.2
17:05:21,0,3.2
17:05:22,68.7,3.2
17:05:23,109,3.2
17:05:24,0,3.2
17:05:25,56.2,3.2
17:05:26,84.3,3.2
17:05:27,30.3,3.2
17:05:28,31.2,3.2
17:05:29,0,3.2
17:05:30,37.5,3.2
17:05:31,0,3.2
17:05:32,3.1,3.2
17:05:33,0,3.3
17:05:34,6.2,3.3
17:05:35,0,3.3
17:05:36,43.7,3.3
17:05:37,40.6,3.3
17:05:38,34.3,3.3
17:05:39,43.7,3.3
17:05:40,53.1,3.3
17:05:41,3.1,3.3
17:05:42,28.1,3.3
17:05:43,6.2,3.3
17:05:44,40.6,3.3
17:05:45,30.3,3.4
17:05:46,40.6,3.4
17:05:47,50,3.4
17:05:48,53.1,3.4
17:05:49,15.6,3.4
17:05:50,43.7,3.4
17:05:51,31.2,3.4
17:05:52,50,3.4
17:05:53,0,3.4
17:05:54,40.6,3.4
17:05:55,12.5,3.5
17:05:56,43.7,3.5
17:05:57,43.7,3.5
17:05:58,31.2,3.5
17:05:59,43.7,3.5
17:06:00,0,3.5
17:06:01,18.7,3.5
17:06:02,25,3.5
17:06:03,37.5,3.5
17:06:04,43.7,3.5
17:06:05,65.6,3.5
17:06:06,0,3.5
17:06:07,12.5,3.5
17:06:08,53.1,3.5
17:06:09,62.5,3.5
17:06:10,40.6,3.6
17:06:11,0,3.6
17:06:12,0,3.6
17:06:13,0,3.6
17:06:14,21.8,3.6
17:06:15,21.2,3.6
17:06:16,63.6,3.8
17:06:17,25,3.9
17:06:18,59.3,3.9
17:06:19,12.5,3.9
17:06:20,6.2,3.9
17:06:21,0,3.9
17:06:22,0,3.9
17:06:23,0,3.9
17:06:24,0,3.9
