elapsetime,cpu%,mem%
[13:49:24],0,3.2
[13:49:25],0,3.2
[13:49:26],0,3.2
[13:49:27],0,3.2
[13:49:28],0,3.2
[13:49:29],0,3.2
[13:49:30],0,3.2
[13:49:31],0,3.2
[13:49:32],0,3.2
[13:49:33],37.5,3.3
[13:49:34],37.5,3.3
[13:49:35],100,3.3
[13:49:36],53.1,3.5
[13:49:37],53.1,3.5
[13:49:38],39.3,3.6
[13:49:39],39.3,3.6
[13:49:39],127,3.6
[13:49:40],93.7,3.7
[13:49:41],43.7,3.7
[13:49:42],42.4,3.7
[13:49:43],30.3,3.7
[13:49:44],128,3.7
[13:49:45],36.3,3.8
[13:49:46],45.4,3.8
[13:49:47],31.2,3.8
[13:49:48],28.1,3.8
[13:49:49],21.2,3.8
[13:49:50],28.1,3.9
[13:49:51],25,3.9
[13:49:52],33.3,3.9
[13:49:53],21.8,3.8
[13:49:54],46.8,3.8
[13:49:55],21.8,3.9
[13:49:56],18.7,3.9
[13:49:57],21.8,3.9
[13:49:58],40.6,3.9
[13:49:59],28.1,3.6
[13:50:00],36.3,3.6
[13:50:01],28.1,3.6
[13:50:02],45.4,3.6
[13:50:03],46.8,3.6
[13:50:04],28.1,3.6
[13:50:05],100,3.6
[13:50:06],21.8,3.8
[13:50:07],21.8,3.8
[13:50:08],48.4,3.8
[13:50:09],21.8,3.8
[13:50:10],25,3.8
[13:50:11],36.3,3.9
[13:50:12],37.5,3.9
[13:50:13],96.8,3.9
[13:50:14],21.8,3.9
[13:50:15],21.2,3.9
[13:50:16],0,3.9
[13:50:17],28.1,3.9
[13:50:18],18.1,3.9
[13:50:19],25,3.9
[13:50:20],21.8,3.9
[13:50:21],12.5,4
[13:50:22],3.1,4
[13:50:23],128,4
[13:50:24],0,4
[13:50:25],18.7,4
[13:50:26],3.1,4
[13:50:27],3,4
[13:50:28],0,4.1
[13:50:29],0,4.1
[13:50:30],46.8,4.1
[13:50:31],18.7,4.1
[13:50:32],0,4.1
[13:50:33],0,4.1
[13:50:34],0,4.1
[13:50:35],6,4.1
[13:50:36],0,4.1
[13:50:37],37.5,4.1
[13:50:38],0,4.1
[13:50:39],21.8,4.1
[13:50:39],0,4.1
[13:50:40],9.3,4.1
[13:50:41],9.3,4.1
[13:50:42],100,4.1
[13:50:43],0,4.2
[13:50:44],6,4.2
[13:50:45],0,4.2
[13:50:46],0,4.2
[13:50:47],18.1,4.2
[13:50:48],40.6,4.2
[13:50:49],15.6,4.3
[13:50:50],0,4.3
[13:50:51],0,4.3
[13:50:52],0,4.3
[13:50:53],0,4.3
[13:50:54],0,4.3
[13:50:55],0,4.3
[13:50:56],46.8,4.3
[13:50:57],6.2,4.3
[13:50:58],3.1,4.3
[13:50:59],6.2,4.3
[13:51:00],0,4.3
[13:51:01],53.1,4.3
[13:51:02],28.1,4.4
[13:51:03],18.1,4.4
[13:51:04],6,4.4
[13:51:05],3.1,4.4
[13:51:06],0,4.4
[13:51:07],3.1,4.4
[13:51:08],9,4.4
[13:51:09],31.2,4.4
[13:51:10],21.8,4.4
[13:51:11],46.8,4.4
[13:51:12],31.2,4.5
[13:51:13],3,4.5
[13:51:14],3,4.5
[13:51:15],3.1,4.5
[13:51:16],0,4.5
[13:51:17],9.3,4.5
[13:51:18],12.5,4.5
[13:51:19],43.7,4.5
[13:51:20],3.1,4.5
[13:51:21],3.1,4.5
[13:51:22],15.1,4.5
[13:51:23],9.3,4.5
[13:51:24],3.1,4.5
[13:51:25],34.3,4.5
[13:51:26],56.2,4.5
[13:51:27],24.2,4.6
[13:51:28],0,4.6
[13:51:29],6.2,4.6
[13:51:30],3.1,4.6
[13:51:31],0,4.6
[13:51:32],40.6,4.6
[13:51:33],21.2,4.6
[13:51:34],3.1,4.6
[13:51:35],0,4.6
[13:51:36],34.3,4.6
[13:51:37],43.7,4.7
[13:51:38],31.2,4.7
[13:51:39],6.2,4.7
[13:51:39],12.1,4.7
[13:51:40],25,4.7
[13:51:41],31.2,4.7
[13:51:42],56.2,4.7
[13:51:43],46.8,4.7
[13:51:44],53.1,4.7
[13:51:45],40.6,4.7
[13:51:46],37.5,4.8
[13:51:47],0,4.8
[13:51:48],0,4.8
[13:51:49],0,4.8
[13:51:50],0,4.8
[13:51:51],37.5,4.8
[13:51:52],27.2,4.8
[13:51:53],96.8,4.8
[13:51:56],18.7,4.8
[13:51:57],12.1,4.9
[13:51:58],3.1,4.9
[13:51:59],6.2,4.9
[13:52:00],31.2,4.9
[13:52:01],0,5
[13:52:02],59.3,5
[13:52:03],124,5
[13:52:05],138,5.1
[13:52:07],6,4.6
[13:52:08],9,4.5
[13:52:09],28.1,4.5
[13:52:10],0,4.6
[13:52:11],21.2,4.6
[13:52:12],0,4.6
[13:52:13],3.1,4.6
[13:52:14],6.2,4.6
[13:52:16],21.8,4.7
[13:52:19],84.8,4.7
[13:52:20],3.1,4.7
[13:52:21],9.3,4.7
[13:52:22],25,4.7
[13:52:23],3.1,4.8
[13:52:24],3.1,4.8
[13:52:25],9.3,4.8
[13:52:26],6.2,4.8
[13:52:27],25,4.8
[13:52:28],39.3,4.9
[13:52:30],6.2,4.9
[13:52:31],3,5
[13:52:32],15.1,5
[13:52:33],9,5
[13:52:35],18.7,5
[13:52:36],0,5
[13:52:37],0,5
