elapsetime,cpu%,mem%
[13:09:34],0,3.1
[13:09:35],0,3.1
[13:09:36],0,3.1
[13:09:37],0,3.1
[13:09:38],0,3.1
[13:09:39],0,3.1
[13:09:40],0,3.1
[13:09:41],0,3.1
[13:09:42],0,3.1
[13:09:43],46.8,3.1
[13:09:44],17.6,3.2
[13:09:45],25,3.2
[13:09:46],90.9,3.2
[13:09:47],37.5,3.3
[13:09:48],42.4,3.4
[13:09:49],72.7,3.4
[13:09:50],93.9,3.5
[13:09:51],81.2,3.5
[13:09:52],109,3.5
[13:09:53],33.3,3.6
[13:09:54],60.6,3.6
[13:09:55],24.2,3.6
[13:09:56],50,3.6
[13:09:57],31.2,3.6
[13:09:58],23.5,3.7
[13:09:59],36.3,3.7
[13:10:00],43.7,3.7
[13:10:01],36.3,3.7
[13:10:02],63.6,3.7
[13:10:03],24.2,3.7
[13:10:04],21.2,3.8
[13:10:05],33.3,3.8
[13:10:06],21.8,3.8
[13:10:06],68.7,3.8
[13:10:07],37.5,3.8
[13:10:08],33.3,3.8
[13:10:09],34.3,3.8
[13:10:10],21.8,3.8
[13:10:11],21.2,3.8
[13:10:12],106,3.8
[13:10:13],21.8,4
[13:10:14],31.2,4
[13:10:15],18.7,4
[13:10:16],66.6,4.1
[13:10:17],59.3,4.1
[13:10:18],18.1,4.1
[13:10:19],21.2,4.1
[13:10:20],72.7,4.1
[13:10:21],37.5,4.2
[13:10:22],0,4.2
[13:10:23],33.3,4.2
[13:10:24],18.1,4.2
[13:10:25],24.2,4.2
[13:10:26],9,4.2
[13:10:27],6,4.2
[13:10:28],5.8,4.3
[13:10:29],0,4.3
[13:10:30],12.5,4.3
[13:10:31],0,4.2
[13:10:32],15.1,4.3
[13:10:33],6,4.3
[13:10:34],0,4.3
[13:10:35],0,4.3
[13:10:36],0,4.3
[13:10:37],0,4.4
[13:10:38],65.6,4.4
[13:10:39],42.4,4.4
[13:10:40],15.1,4.4
[13:10:41],6,4.4
[13:10:42],15.6,4.4
[13:10:43],6.2,4.4
[13:10:44],87.5,4.4
[13:10:45],0,4.5
[13:10:46],15.1,4.5
[13:10:47],59.3,4.5
[13:10:48],12.5,4.5
[13:10:49],3,4.5
[13:10:50],12.5,4.5
[13:10:51],9.3,4.2
[13:10:52],0,4.2
[13:10:53],0,4.1
[13:10:54],0,4.1
[13:10:55],0,4.1
[13:10:56],0,4.1
[13:10:57],0,4.1
[13:10:58],0,4.1
[13:10:59],12.5,4.1
[13:11:00],0,4.1
[13:11:01],0,4.1
[13:11:02],9,4.1
[13:11:03],21.8,4.1
[13:11:04],0,4.1
[13:11:05],0,4.2
[13:11:06],31.2,4.2
[13:11:07],21.2,4.2
[13:11:08],3.1,4.2
[13:11:09],6.2,4.2
[13:11:10],9.3,4.2
[13:11:11],18.1,4.2
[13:11:12],6.2,4.2
[13:11:13],3,4.2
[13:11:14],0,4.2
[13:11:15],12.5,4.2
[13:11:16],15.6,4.2
[13:11:17],9,4.3
[13:11:18],18.1,4.3
[13:11:19],37.5,4.3
[13:11:20],9.3,4.3
[13:11:21],6,4.3
[13:11:21],9.3,4.3
[13:11:22],6,4.3
[13:11:23],0,4.3
[13:11:24],21.2,4.3
[13:11:25],9,4.3
[13:11:26],3.1,4.3
[13:11:27],0,4.3
[13:11:28],33.3,4.3
[13:11:29],0,4.3
[13:11:30],12.5,4.3
[13:11:31],21.8,4.3
[13:11:32],43.7,4.3
[13:11:33],18.7,4.3
[13:11:34],15.6,4.4
[13:11:35],12.1,4.4
[13:11:36],18.1,4.4
[13:11:37],37.5,4.4
[13:11:38],43.7,4.4
[13:11:39],12.1,4.4
[13:11:40],6,4.4
[13:11:41],0,4.4
[13:11:42],53.1,4.4
[13:11:43],0,4.4
[13:11:44],15.6,4.4
[13:11:45],0,4.4
[13:11:46],37.5,4.4
[13:11:47],9,4.5
[13:11:48],45.4,4.5
[13:11:49],60.6,4.5
[13:11:50],43.7,4.5
[13:11:51],0,4.5
[13:11:52],0,4.5
[13:11:53],37.5,4.5
[13:11:54],0,4.5
[13:11:55],24.2,4.5
[13:11:56],84.3,4.5
[13:11:57],0,4.5
[13:11:58],0,4.5
[13:11:59],45.4,4.5
[13:12:00],32.3,4.6
[13:12:01],0,4.6
[13:12:02],9.3,4.6
[13:12:03],3.1,4.6
[13:12:04],3.1,4.6
[13:12:05],0,4.6
[13:12:06],3.1,4.7
[13:12:07],3,4.8
[13:12:08],87.5,4.8
[13:12:09],0,4.8
[13:12:10],12.1,4.8
[13:12:11],93.9,4.9
[13:12:12],0,4.9
[13:12:13],39.3,5
[13:12:14],0,5
[13:12:15],42.4,5
[13:12:16],6.2,5
[13:12:17],6.2,5.1
[13:12:18],18.7,5.1
[13:12:19],28.1,5.1
[13:12:20],0,5.2
[13:12:21],9.3,5.2
[13:12:22],25,5.2
[13:12:23],25,5.2
[13:12:24],31.2,5.2
[13:12:25],40.6,5.2
[13:12:26],37.5,5.2
[13:12:27],46.8,5.2
[13:12:28],53.1,5.2
[13:12:29],21.8,5.3
[13:12:30],9.3,5.5
[13:12:31],15.6,5.5
[13:12:32],12.5,5.4
[13:12:33],5.8,5.5
[13:12:34],21.8,5.5
[13:12:34],9.3,5.5
[13:12:35],3.1,5.5
[13:12:36],3.1,5.5
[13:12:37],3.1,5.5
[13:12:38],0,5.5
