elapsetime,cpu%,mem%
[13:18:13],0,3.2
[13:18:14],0,3.2
[13:18:15],0,3.2
[13:18:16],0,3.2
[13:18:17],0,3.2
[13:18:18],0,3.2
[13:18:19],0,3.2
[13:18:20],0,3.2
[13:18:21],71.8,3.2
[13:18:22],6,3.2
[13:18:23],75,3.2
[13:18:24],39.3,3.4
[13:18:25],45.4,3.4
[13:18:26],81.2,3.5
[13:18:27],25,3.6
[13:18:28],50,3.6
[13:18:29],87.5,3.6
[13:18:30],63.6,3.6
[13:18:31],121,3.6
[13:18:32],40.6,3.7
[13:18:33],43.7,3.7
[13:18:34],28.1,3.7
[13:18:35],25,3.7
[13:18:36],54.5,3.7
[13:18:37],21.8,3.8
[13:18:38],37.5,3.8
[13:18:39],33.3,3.8
[13:18:40],90.6,3.8
[13:18:41],34.3,3.8
[13:18:42],21.8,3.8
[13:18:43],25,3.8
[13:18:44],25,3.8
[13:18:45],21.8,3.8
[13:18:46],21.8,3.8
[13:18:47],21.8,3.8
[13:18:48],21.8,3.9
[13:18:49],25,3.9
[13:18:50],27.2,3.9
[13:18:51],24.2,3.9
[13:18:52],46.8,3.9
[13:18:53],39.3,3.9
[13:18:54],25,3.9
[13:18:55],112,3.9
[13:18:56],21.8,4
[13:18:57],21.8,4
[13:18:58],25,4.1
[13:18:59],21.8,4.1
[13:19:00],21.8,4.1
[13:19:01],18.7,4.2
[13:19:02],84.3,4.2
[13:19:03],31.2,4.2
[13:19:04],0,4.2
[13:19:05],38.2,4.2
[13:19:06],0,4.2
[13:19:07],9,4.2
[13:19:07],0,4.2
[13:19:08],0,4.2
[13:19:09],3.1,4.2
[13:19:10],6.2,4.2
[13:19:11],6.2,4.2
[13:19:12],81.8,4.4
[13:19:13],0,4.3
[13:19:14],0,4.3
[13:19:15],0,4.3
[13:19:16],18.7,4.3
[13:19:17],134,4.3
[13:19:18],0,4.3
[13:19:19],18.7,4.4
[13:19:20],28.1,4.4
[13:19:21],15.1,4.4
[13:19:22],0,4.4
[13:19:23],3.1,4.4
[13:19:24],12.5,4.4
[13:19:25],15.6,4.4
[13:19:26],0,4.4
[13:19:27],0,4.4
[13:19:28],15.6,4.4
[13:19:29],0,4.1
[13:19:30],31.2,4.1
[13:19:31],0,4.1
[13:19:32],15.1,4.1
[13:19:33],15.6,4.1
[13:19:34],28.1,4.1
[13:19:35],9.3,4.1
[13:19:36],0,4.1
[13:19:37],56.2,4.1
[13:19:38],0,4.1
[13:19:39],0,4.1
[13:19:40],0,4.2
[13:19:41],28.1,4.1
[13:19:42],12.5,4.2
[13:19:43],25,4.2
[13:19:44],0,4.2
[13:19:45],0,4.2
[13:19:46],12.1,4.2
[13:19:47],9.3,4.2
[13:19:48],25,4.2
[13:19:49],0,4.2
[13:19:50],3.1,4.2
[13:19:51],34.3,4.2
[13:19:52],9,4.2
[13:19:53],18.1,4.2
[13:19:54],68.7,4.2
[13:19:55],37.5,4.2
[13:19:56],25,4.3
[13:19:57],18.1,4.3
[13:19:58],6.2,4.3
[13:19:59],0,4.3
[13:20:00],9.3,4.3
[13:20:01],9.3,4.3
[13:20:02],28.1,4.3
[13:20:03],3.1,4.3
[13:20:03],9.3,4.3
[13:20:04],37.5,4.3
[13:20:05],21.8,4.3
[13:20:06],3,4.3
[13:20:07],9,4.3
[13:20:08],0,4.3
[13:20:09],0,4.3
[13:20:10],59.3,4.3
[13:20:11],51.5,4.4
[13:20:12],18.1,4.4
[13:20:13],3.1,4.4
[13:20:14],0,4.4
[13:20:15],46.8,4.4
[13:20:16],37.5,4.4
[13:20:17],37.5,4.4
[13:20:18],3.1,4.4
[13:20:19],3.1,4.4
[13:20:20],0,4.4
[13:20:21],30.3,4.5
[13:20:22],3.1,4.4
[13:20:23],9.3,4.4
[13:20:24],3.1,4.5
[13:20:25],3.1,4.4
[13:20:26],50,4.4
[13:20:27],0,4.5
[13:20:28],46.8,4.5
[13:20:29],9.3,4.5
[13:20:30],46.8,4.5
[13:20:31],68.7,4.5
[13:20:32],65.6,4.5
[13:20:33],0,4.5
[13:20:34],45.4,4.5
[13:20:35],0,4.6
[13:20:36],62.5,4.6
[13:20:37],87.5,4.6
[13:20:38],0,4.6
[13:20:39],18.7,4.6
[13:20:40],53.1,4.6
[13:20:41],17.6,4.7
[13:20:42],3.1,4.7
[13:20:43],0,4.7
[13:20:44],0,4.7
[13:20:45],12.5,4.7
[13:20:46],56.2,4.7
[13:20:47],12.5,4.8
[13:20:48],69.6,4.8
[13:20:49],0,4.9
[13:20:50],0,4.9
[13:20:51],6,4.9
[13:20:52],56.2,4.9
[13:20:53],78.1,5
[13:20:54],0,5.1
[13:20:55],71.8,5.1
[13:20:56],6.2,5.1
[13:20:57],28.1,5.2
[13:20:58],24.2,5.3
[13:20:59],21.8,5.3
[13:21:00],9.3,5.3
[13:21:01],21.2,5.3
[13:21:02],28.1,5.3
[13:21:02],25,5.3
[13:21:03],12.5,5.3
[13:21:04],9,5.3
[13:21:05],43.7,5.3
[13:21:06],3.1,5.3
[13:21:07],9.3,5.5
[13:21:08],53.1,5.5
[13:21:09],34.3,5.5
[13:21:10],3.1,5.5
[13:21:11],0,5.5
[13:21:12],9.3,5.5
[13:21:13],0,5.6
[13:21:14],15.6,5.6
[13:21:15],0,5.6
[13:21:16],0,5.6
[13:21:16],0,5.6
