elapsetime,cpu%,mem%
[04:26:59],0,3.2
[04:27:01],0,3.2
[04:27:02],0,3.2
[04:27:03],0,3.2
[04:27:04],0,3.2
[04:27:05],39.3,3.3
[04:27:06],12.5,3.2
[04:27:07],90.6,3.3
[04:27:08],42.4,3.4
[04:27:09],75,3.4
[04:27:10],50,3.4
[04:27:11],25,3.5
[04:27:12],18.7,3.5
[04:27:13],103,3.6
[04:27:14],94.2,3.6
[04:27:15],33.3,3.6
[04:27:16],48.4,3.6
[04:27:17],23.5,3.6
[04:27:18],48.4,3.7
[04:27:19],42.4,3.7
[04:27:20],30.3,3.7
[04:27:21],30.3,3.7
[04:27:22],62.5,3.7
[04:27:23],21.2,3.7
[04:27:24],24.2,3.7
[04:27:25],51.5,3.8
[04:27:26],18.7,3.8
[04:27:27],21.8,3.8
[04:27:28],46.8,3.8
[04:27:29],30.3,3.8
[04:27:30],28.1,3.8
[04:27:31],43.7,3.8
[04:27:32],28.1,3.8
[04:27:33],21.8,3.8
[04:27:33],21.2,4
[04:27:34],18.7,4
[04:27:35],21.2,4
[04:27:36],112,4
[04:27:37],18.7,4
[04:27:38],21.8,4.1
[04:27:39],25,4.1
[04:27:40],56.2,4.1
[04:27:41],40.6,4.1
[04:27:42],35.2,4.1
[04:27:43],21.2,4.1
[04:27:44],0,4.2
[04:27:45],32.3,4.2
[04:27:46],3.1,4.2
[04:27:47],0,4.2
[04:27:48],25,4.2
[04:27:49],12.1,4.2
[04:27:50],0,4.2
[04:27:51],115,4.2
[04:27:52],0,4.3
[04:27:53],9.3,4.3
[04:27:54],0,4.3
[04:27:55],68.7,4.3
[04:27:56],15.1,4.3
[04:27:57],0,4.3
[04:27:58],40.6,4.3
[04:27:59],37.5,4.3
[04:28:00],81.2,4.4
[04:28:01],5.8,4.4
[04:28:02],3.1,4.4
[04:28:03],6.2,4.4
[04:28:04],0,4.4
[04:28:05],0,4.4
[04:28:06],46.8,4.4
[04:28:07],0,4.5
[04:28:08],25,4.5
[04:28:09],0,4.5
[04:28:10],75,4.5
[04:28:11],6.2,4.5
[04:28:12],0,4.5
[04:28:13],78.7,4.5
[04:28:14],34.3,4.1
[04:28:15],12.5,4.2
[04:28:16],0,4.1
[04:28:17],0,4.1
[04:28:18],0,4.1
[04:28:19],0,4.1
[04:28:20],9.3,4.1
[04:28:21],9,4.1
[04:28:22],18.7,4.1
[04:28:23],3.1,4.1
[04:28:24],12.1,4.1
[04:28:25],31.2,4.1
[04:28:26],25,4.1
[04:28:27],0,4.2
[04:28:28],6,4.2
[04:28:29],0,4.2
[04:28:30],3.1,4.2
[04:28:31],9.3,4.2
[04:28:32],57.5,4.4
[04:28:33],0,4.5
[04:28:34],0,4.5
[04:28:35],3,4.5
[04:28:36],15.6,4.5
[04:28:37],9.3,4.5
[04:28:38],18.1,4.5
[04:28:39],0,4.5
[04:28:40],8.8,4.5
[04:28:41],6.2,4.5
[04:28:42],0,4.6
[04:28:43],28.1,4.6
[04:28:44],12.1,4.6
[04:28:45],12.1,4.6
[04:28:45],3.1,4.6
[04:28:46],0,4.6
[04:28:47],28.1,4.6
[04:28:48],40.6,4.6
[04:28:49],0,4.6
[04:28:50],18.7,4.6
[04:28:51],0,4.7
[04:28:52],21.2,4.7
[04:28:53],30.3,4.7
[04:28:54],6.2,4.7
[04:28:55],0,4.7
[04:28:56],56.2,4.7
[04:28:57],21.8,4.7
[04:28:58],33.3,4.8
[04:28:59],3.1,4.8
[04:29:00],3.1,4.8
[04:29:01],6,4.8
[04:29:02],12.5,4.8
[04:29:03],21.8,4.8
[04:29:04],0,4.8
[04:29:05],33.3,4.8
[04:29:06],3.1,4.9
[04:29:07],18.7,4.9
[04:29:08],0,4.9
[04:29:09],6,4.9
[04:29:10],24.2,4.9
[04:29:11],6.2,4.9
[04:29:12],0,4.9
[04:29:13],0,4.9
[04:29:14],3.1,4.9
[04:29:15],56.2,4.9
[04:29:16],36.3,4.9
[04:29:17],39.3,5
[04:29:18],51.5,5
[04:29:19],0,5
[04:29:20],40.6,5
[04:29:21],12.5,5
[04:29:22],18.1,5
[04:29:23],90.6,5
[04:29:24],0,5
[04:29:25],54.5,5
[04:29:26],78.1,5
[04:29:27],0,5
[04:29:28],9,5.1
[04:29:29],12.5,5.1
[04:29:30],0,5.1
[04:29:31],0,5.1
[04:29:32],0,5.1
[04:29:33],18.1,5.2
[04:29:34],20.5,5.2
[04:29:35],0,5.3
[04:29:36],6,5.3
[04:29:37],12.5,5.3
[04:29:38],0,5.4
[04:29:39],40.6,5.4
[04:29:40],65.6,5.5
[04:29:41],3,5.5
[04:29:42],18.7,5.6
[04:29:43],40.6,5.6
[04:29:44],0,5.6
[04:29:45],9.3,5.7
[04:29:46],6.2,5.7
[04:29:47],0,5.7
[04:29:48],3.1,5.7
[04:29:48],25,5.7
[04:29:49],9.3,5.7
[04:29:50],0,5.7
[04:29:51],28.1,5.7
[04:29:52],34.3,5.7
[04:29:53],6.2,5.8
[04:29:54],90.9,5.3
[04:29:55],65.6,5.1
[04:29:56],0,5.1
[04:29:57],12.5,5.1
[04:29:58],31.2,5.1
[04:29:59],0,5.1
[04:30:00],12.5,5.1
[04:30:01],9.3,5.1
[04:30:02],0,5.1
[04:30:03],0,5.1
[04:30:04],0,5.1
