elapsetime,cpu%,mem%
[13:29:29],0,3.2
[13:29:30],0,3.2
[13:29:31],0,3.2
[13:29:32],0,3.2
[13:29:33],0,3.2
[13:29:34],0,3.2
[13:29:35],0,3.2
[13:29:36],0,3.2
[13:29:37],0,3.2
[13:29:38],0,3.2
[13:29:39],18.1,3.2
[13:29:40],56.2,3.2
[13:29:41],6.2,3.3
[13:29:41],100,3.3
[13:29:42],46.8,3.4
[13:29:43],57.5,3.5
[13:29:44],130,3.5
[13:29:45],75,3.6
[13:29:46],12.5,3.6
[13:29:47],48.4,3.6
[13:29:48],75,3.6
[13:29:49],50,3.7
[13:29:50],40.6,3.7
[13:29:51],37.5,3.7
[13:29:52],25,3.7
[13:29:53],28.1,3.8
[13:29:54],40.6,3.7
[13:29:55],34.3,3.8
[13:29:56],78.1,3.8
[13:29:57],46.8,3.8
[13:29:58],30.3,3.8
[13:29:59],25,3.8
[13:30:00],24.2,3.8
[13:30:01],78.1,3.9
[13:30:02],46.8,3.9
[13:30:03],37.5,3.9
[13:30:04],28.1,3.9
[13:30:05],20.5,3.9
[13:30:06],34.3,3.9
[13:30:07],21.8,3.9
[13:30:08],128,3.9
[13:30:09],21.8,4.1
[13:30:10],18.7,4.1
[13:30:11],37.5,4.1
[13:30:12],134,4.1
[13:30:13],65.6,4.1
[13:30:14],21.2,4.2
[13:30:15],93.7,4.1
[13:30:16],40.6,4.2
[13:30:17],18.7,4.2
[13:30:18],66.6,3.9
[13:30:19],90.6,3.9
[13:30:20],60.6,3.9
[13:30:21],15.1,3.9
[13:30:22],12.5,3.9
[13:30:23],6.2,3.9
[13:30:24],9.3,3.9
[13:30:25],3,3.9
[13:30:26],44.1,3.9
[13:30:27],21.8,3.9
[13:30:28],121,3.9
[13:30:29],12.1,4
[13:30:30],0,4
[13:30:31],0,4
[13:30:32],9.3,4
[13:30:33],68.7,4
[13:30:34],28.1,4.1
[13:30:35],18.7,4
[13:30:36],25,4.1
[13:30:37],12.5,4.1
[13:30:38],9.3,4.1
[13:30:39],52.9,4.1
[13:30:40],9,4.1
[13:30:41],93.7,4.1
[13:30:42],15.6,4.2
[13:30:43],0,4.2
[13:30:44],0,4.2
[13:30:45],0,4.2
[13:30:46],39.3,4.2
[13:30:47],6.2,4.2
[13:30:48],0,4.2
[13:30:49],0,4.2
[13:30:50],40.6,4.2
[13:30:51],0,4.3
[13:30:52],3.1,4.3
[13:30:52],0,4.3
[13:30:53],18.1,4.3
[13:30:54],6.2,4.3
[13:30:55],6.2,4.3
[13:30:56],0,4.3
[13:30:57],3.1,4.3
[13:30:58],9.3,4.3
[13:30:59],25,4.3
[13:31:00],43.7,4.3
[13:31:01],9,4.3
[13:31:02],9.3,4.3
[13:31:03],6,4.3
[13:31:04],6,4.3
[13:31:05],34.3,4.3
[13:31:06],18.7,4.4
[13:31:07],3.1,4.4
[13:31:08],9.3,4.4
[13:31:09],3.1,4.4
[13:31:10],0,4.4
[13:31:11],31.2,4.4
[13:31:12],9.3,4.4
[13:31:13],18.7,4.4
[13:31:14],21.2,4.4
[13:31:15],0,4.4
[13:31:16],15.6,4.4
[13:31:17],25,4.4
[13:31:18],15.6,4.4
[13:31:19],40.6,4.4
[13:31:20],40.6,4.5
[13:31:21],3.1,4.5
[13:31:22],18.7,4.5
[13:31:23],3.1,4.5
[13:31:24],21.8,4.5
[13:31:25],0,4.5
[13:31:26],15.1,4.5
[13:31:27],24.2,4.5
[13:31:28],43.7,4.5
[13:31:29],18.7,4.5
[13:31:30],18.1,4.6
[13:31:31],9.3,4.6
[13:31:32],6.2,4.6
[13:31:33],0,4.6
[13:31:34],0,4.6
[13:31:35],0,4.6
[13:31:36],0,4.6
[13:31:37],59.3,4.6
[13:31:38],39.3,4.6
[13:31:39],50,4.6
[13:31:40],57.5,4.7
[13:31:41],12.5,4.7
[13:31:42],15.6,4.7
[13:31:43],34.3,4.7
[13:31:44],0,4.7
[13:31:44],0,4.7
[13:31:45],59.3,4.7
[13:31:46],25,4.7
[13:31:47],0,4.7
[13:31:48],0,4.7
[13:31:49],21.8,4.8
[13:31:50],0,4.8
[13:31:51],0,4.8
[13:31:52],0,4.8
[13:31:53],75.7,4.8
[13:31:54],0,4.8
[13:31:55],78.7,4.9
[13:31:56],96.8,4.9
[13:31:57],65.6,4.9
[13:31:58],81.2,5
[13:31:59],30.3,5
[13:32:00],0,5
[13:32:01],0,5
[13:32:02],62.5,5
[13:32:03],115,5.1
[13:32:04],9,5.2
[13:32:05],62.5,5.2
[13:32:06],0,5.2
[13:32:07],15.1,5.2
[13:32:08],148,5.2
[13:32:09],59.3,5.3
[13:32:10],3.1,5.4
[13:32:11],24.2,5.4
[13:32:12],21.8,5.4
[13:32:13],34.3,5.4
[13:32:14],31.2,5.4
[13:32:15],0,5.4
[13:32:16],25,5.4
[13:32:17],18.7,5.4
[13:32:18],50,5.4
[13:32:19],0,5.4
[13:32:20],9.3,5.5
[13:32:21],9.3,5.2
[13:32:22],15.1,5
[13:32:23],0,4.8
[13:32:24],0,4.8
[13:32:25],0,4.9
[13:32:26],21.8,4.9
[13:32:27],0,4.9
[13:32:28],25,4.9
[13:32:29],3.1,4.9
[13:32:30],0,4.9
[13:32:31],0,4.9
[13:32:32],0,4.9
[13:32:32],0,4.9
