elapsetime,cpu%,mem%
[05:30:56],0,3.2
[05:30:57],45.4,3.3
[05:30:58],65.6,3.3
[05:30:59],3.1,3.3
[05:31:00],93.7,3.4
[05:31:01],43.7,3.5
[05:31:02],39.3,3.5
[05:31:03],56.2,3.5
[05:31:04],81.2,3.5
[05:31:05],21.8,3.6
[05:31:06],45.4,3.6
[05:31:07],65.6,3.7
[05:31:08],33.3,3.7
[05:31:09],24.2,3.7
[05:31:10],54.2,3.5
[05:31:11],27.2,3.5
[05:31:12],28.1,3.5
[05:31:13],72.7,3.6
[05:31:14],68.7,3.6
[05:31:15],30.3,3.6
[05:31:16],21.2,3.5
[05:31:17],68.7,3.6
[05:31:18],30.3,3.6
[05:31:19],25,3.6
[05:31:20],46.8,3.6
[05:31:21],21.8,3.6
[05:31:22],18.7,3.7
[05:31:23],27.2,3.7
[05:31:24],30.3,3.7
[05:31:25],25,3.7
[05:31:26],48.4,3.7
[05:31:27],31.2,3.7
[05:31:28],18.7,3.7
[05:31:29],109,3.7
[05:31:30],21.8,3.9
[05:31:31],21.8,3.9
[05:31:32],27.2,3.9
[05:31:33],24.2,3.9
[05:31:34],21.8,4
[05:31:35],54.5,3.9
[05:31:36],18.1,4
[05:31:37],18.7,4
[05:31:38],39.3,4
[05:31:39],53.1,4
[05:31:40],27.2,4
[05:31:41],15.1,4
[05:31:42],0,4
[05:31:43],0,4
[05:31:44],0,4
[05:31:45],71.8,4.1
[05:31:46],0,4.1
[05:31:47],18.7,4.1
[05:31:48],12.5,4.1
[05:31:49],121,4.1
[05:31:50],15.6,4.1
[05:31:50],0,4.2
[05:31:51],0,4.2
[05:31:52],62.5,4.2
[05:31:53],36.3,4.2
[05:31:54],0,4.2
[05:31:55],0,4.2
[05:31:56],15.6,4.2
[05:31:57],15.6,4.2
[05:31:58],3.1,4.2
[05:31:59],6.2,4.3
[05:32:00],6.2,4.3
[05:32:01],3.1,4.3
[05:32:02],21.2,4.3
[05:32:03],0,4.3
[05:32:04],0,4.3
[05:32:05],18.7,4.4
[05:32:06],0,4.4
[05:32:07],21.2,4.4
[05:32:08],0,4.4
[05:32:09],0,4.4
[05:32:10],0,4.4
[05:32:11],0,4.4
[05:32:12],0,4.4
[05:32:13],6.2,4.4
[05:32:14],3.1,4.4
[05:32:15],15.6,4.4
[05:32:16],6,4.4
[05:32:17],21.8,4.4
[05:32:18],24.2,4.4
[05:32:19],0,4.5
[05:32:20],0,4.5
[05:32:21],9.3,4.5
[05:32:22],18.7,4.5
[05:32:23],50,4.5
[05:32:24],21.8,4.5
[05:32:25],6,4.5
[05:32:26],9.3,4.5
[05:32:27],3.1,4.5
[05:32:28],56.2,4.5
[05:32:29],3.1,4.6
[05:32:30],3,4.6
[05:32:31],12.1,4.6
[05:32:32],9.3,4.6
[05:32:33],3.1,4.6
[05:32:34],0,4.6
[05:32:35],18.7,4.6
[05:32:36],0,4.6
[05:32:37],6.2,4.6
[05:32:38],3.1,4.6
[05:32:39],0,4.6
[05:32:40],31.2,4.6
[05:32:41],9,4.6
[05:32:42],18.7,4.7
[05:32:43],34.3,4.6
[05:32:44],0,4.6
[05:32:45],18.7,4.7
[05:32:46],0,4.7
[05:32:47],0,4.7
[05:32:48],31.2,4.7
[05:32:49],12.5,4.7
[05:32:50],46.8,4.7
[05:32:51],24.2,4.7
[05:32:52],3.1,4.7
[05:32:53],12.1,4.7
[05:32:54],24.2,4.7
[05:32:55],3.1,4.7
[05:32:56],15.6,4.7
[05:32:57],21.8,4.8
[05:32:58],6.2,4.8
[05:32:58],21.8,4.8
[05:32:59],56.2,4.8
[05:33:00],0,4.8
[05:33:01],6.2,4.8
[05:33:02],59.3,4.8
[05:33:03],65.6,4.8
[05:33:04],65.6,4.8
[05:33:05],40.6,4.9
[05:33:06],37.5,4.9
[05:33:07],0,4.9
[05:33:08],6.2,4.9
[05:33:09],3.1,4.9
[05:33:10],15.6,4.9
[05:33:11],46.8,4.9
[05:33:12],3,4.9
[05:33:13],26.4,5
[05:33:14],3,5
[05:33:15],62.5,4.6
[05:33:16],34.3,4.5
[05:33:17],43.7,4.4
[05:33:18],0,4.4
[05:33:19],15.6,4.4
[05:33:20],0,4.4
[05:33:21],59.3,4.4
[05:33:22],75,4.5
[05:33:23],9.3,4.5
[05:33:24],41.1,4.6
[05:33:25],0,4.6
[05:33:26],6.2,4.6
[05:33:27],45.4,4.6
[05:33:28],0,4.6
[05:33:29],0,4.6
[05:33:30],0,4.6
[05:33:31],30.3,4.7
[05:33:32],30.3,4.7
[05:33:33],0,4.7
[05:33:34],0,4.8
[05:33:35],6.2,4.8
[05:33:36],0,4.9
[05:33:37],9.3,4.9
[05:33:38],18.7,4.9
[05:33:39],31.2,4.9
[05:33:40],24.2,4.9
[05:33:41],3.1,4.9
[05:33:42],25,4.9
[05:33:43],25,4.9
[05:33:44],0,4.9
[05:33:45],12.5,4.9
[05:33:46],9.3,5
[05:33:47],12.5,5.1
[05:33:48],31.2,5.1
[05:33:49],0,5.1
[05:33:50],0,5.1
[05:33:51],12.5,5.1
[05:33:52],3.1,5.1
[05:33:53],6.2,5.2
[05:33:54],6.2,5.2
[05:33:55],18.7,5.2
[05:33:56],3.1,5.2
[05:33:57],3.1,5.2
[05:33:58],0,5.2
[05:33:59],0,5.2
[05:34:00],0,5.2
[05:34:01],3.1,5.2
