elapsetime,cpu%,mem%
[13:38:36],0,3.2
[13:38:37],0,3.2
[13:38:38],0,3.2
[13:38:39],0,3.2
[13:38:40],0,3.2
[13:38:41],0,3.2
[13:38:42],0,3.2
[13:38:43],0,3.2
[13:38:44],0,3.2
[13:38:45],3,3.2
[13:38:46],0,3.2
[13:38:47],0,3.3
[13:38:48],0,3.3
[13:38:49],93.9,3.3
[13:38:50],45.4,3.4
[13:38:51],42.4,3.5
[13:38:52],40.6,3.5
[13:38:53],28.1,3.6
[13:38:54],59.3,3.6
[13:38:55],40.6,3.6
[13:38:56],59.3,3.7
[13:38:57],118,3.7
[13:38:58],50,3.7
[13:38:59],53.1,3.7
[13:39:00],34.3,3.7
[13:39:01],100,3.8
[13:39:02],21.8,3.8
[13:39:03],37.5,3.8
[13:39:04],18.7,3.8
[13:39:05],39.3,3.8
[13:39:06],34.3,3.8
[13:39:07],34.3,3.8
[13:39:08],31.2,3.8
[13:39:09],18.7,3.8
[13:39:10],21.8,3.9
[13:39:11],21.8,3.9
[13:39:12],25,3.9
[13:39:13],37.5,3.9
[13:39:14],34.3,3.9
[13:39:15],28.1,3.9
[13:39:16],30.3,3.9
[13:39:17],28.1,3.9
[13:39:18],25,3.9
[13:39:19],127,4
[13:39:20],21.8,4.1
[13:39:21],37.5,4.1
[13:39:22],196,4.2
[13:39:23],59.3,3.8
[13:39:24],21.8,3.8
[13:39:25],48.4,3.8
[13:39:26],18.7,3.8
[13:39:27],21.2,3.9
[13:39:28],21.8,3.9
[13:39:29],18.7,3.9
[13:39:30],31.2,3.9
[13:39:30],12.1,3.9
[13:39:31],31.2,3.9
[13:39:32],3.1,3.9
[13:39:33],3.1,3.9
[13:39:34],28.1,3.9
[13:39:35],0,4
[13:39:36],31.2,4
[13:39:37],3.1,4
[13:39:38],6.2,4
[13:39:39],6.2,4
[13:39:40],3.1,4
[13:39:41],0,4
[13:39:42],62.5,4.1
[13:39:43],72.7,4.1
[13:39:44],2.9,4.1
[13:39:45],0,4.1
[13:39:46],9.3,4.1
[13:39:47],21.8,4.1
[13:39:48],9,4.1
[13:39:49],109,4.1
[13:39:50],0,4.1
[13:39:51],34.3,4.2
[13:39:52],51.5,4.2
[13:39:53],12.5,4.2
[13:39:54],0,4.2
[13:39:55],0,4.2
[13:39:56],3.1,4.2
[13:39:57],34.3,4.2
[13:39:58],0,4.2
[13:39:59],0,4.3
[13:40:00],9,4.3
[13:40:01],21.8,4.3
[13:40:02],12.5,4.3
[13:40:03],25,4.3
[13:40:04],50,4.3
[13:40:05],0,4.3
[13:40:06],9.3,4.3
[13:40:07],9.3,4.3
[13:40:08],50,4.3
[13:40:09],0,4.4
[13:40:10],9.3,4.4
[13:40:11],18.1,4.4
[13:40:12],21.2,4.4
[13:40:13],9.3,4.4
[13:40:14],28.1,4.4
[13:40:15],9,4.4
[13:40:16],21.8,4.4
[13:40:17],0,4.4
[13:40:18],6,4.4
[13:40:19],37.5,4.4
[13:40:20],15.6,4.5
[13:40:21],15.1,4.5
[13:40:22],0,4.5
[13:40:23],3.1,4.5
[13:40:24],21.8,4.5
[13:40:25],24.2,4.5
[13:40:26],37.5,4.5
[13:40:27],53.1,4.5
[13:40:28],53.1,4.6
[13:40:29],15.1,4.6
[13:40:30],12.5,4.6
[13:40:30],3.1,4.6
[13:40:31],0,4.6
[13:40:32],31.2,4.6
[13:40:33],3,4.6
[13:40:34],3.1,4.6
[13:40:35],9.3,4.6
[13:40:36],0,4.6
[13:40:37],37.5,4.6
[13:40:38],15.1,4.6
[13:40:39],3.1,4.6
[13:40:40],9.3,4.6
[13:40:41],28.1,4.6
[13:40:42],0,4.6
[13:40:43],0,4.6
[13:40:44],31.2,4.6
[13:40:45],34.3,4.7
[13:40:46],53.1,4.7
[13:40:47],34.3,4.7
[13:40:48],45.4,4.7
[13:40:49],0,4.7
[13:40:50],31.2,4.7
[13:40:51],40.6,4.7
[13:40:52],0,4.7
[13:40:53],3.1,4.7
[13:40:54],18.7,4.7
[13:40:55],69.6,4.7
[13:40:56],0,4.8
[13:40:57],0,4.8
[13:40:58],25,4.8
[13:40:59],9.3,4.8
[13:41:00],75.7,4.8
[13:41:01],12.5,4.9
[13:41:02],0,4.9
[13:41:03],0,4.9
[13:41:04],3,5
[13:41:05],41.1,5.1
[13:41:06],0,5.1
[13:41:07],6,5.1
[13:41:08],9.3,5.1
[13:41:09],3.1,5.1
[13:41:10],0,5.2
[13:41:11],33.3,5.2
[13:41:12],93.7,5.2
[13:41:13],0,5.3
[13:41:14],163,5.3
[13:41:15],34.3,4.9
[13:41:16],0,4.9
[13:41:17],84.8,4.7
[13:41:18],3.1,4.7
[13:41:19],0,4.7
[13:41:20],0,4.7
[13:41:21],21.8,4.7
[13:41:22],25,4.7
[13:41:23],18.7,4.7
[13:41:24],9.3,4.7
[13:41:25],6.2,4.7
[13:41:26],100,4.7
[13:41:26],46.8,4.9
[13:41:27],43.7,4.9
[13:41:28],3.1,4.9
[13:41:29],0,4.9
[13:41:30],3.1,4.9
[13:41:31],6.2,4.9
[13:41:32],0,4.9
[13:41:33],15.6,4.9
[13:41:34],3.1,4.9
[13:41:35],3.1,4.9
[13:41:36],0,4.9
[13:41:37],0,4.9
[13:41:38],0,4.9
[13:41:39],0,4.9
[13:41:40],0,4.9
