elapsetime,cpu%,mem%
[04:15:27],0,3.1
[04:15:28],0,3.1
[04:15:29],42.4,3.1
[04:15:30],33.3,3.2
[04:15:31],100,3.2
[04:15:32],39.3,3.3
[04:15:33],40.6,3.4
[04:15:34],81.2,3.4
[04:15:35],166,3.4
[04:15:36],63.6,3.5
[04:15:37],112,3.5
[04:15:38],39.3,3.5
[04:15:39],33.3,3.6
[04:15:40],39.3,3.6
[04:15:41],30.3,3.6
[04:15:41],115,3.6
[04:15:42],21.2,3.7
[04:15:43],39.3,3.7
[04:15:44],31.2,3.7
[04:15:45],65.6,3.7
[04:15:46],43.7,3.7
[04:15:47],27.2,3.7
[04:15:48],33.3,3.7
[04:15:49],18.7,3.8
[04:15:50],21.8,3.8
[04:15:51],21.8,3.8
[04:15:52],25,3.8
[04:15:53],18.1,3.8
[04:15:54],51.5,3.8
[04:15:55],39.3,3.8
[04:15:56],21.8,3.8
[04:15:57],112,3.9
[04:15:58],18.7,4
[04:15:59],18.7,4
[04:16:00],50,4
[04:16:01],21.2,4
[04:16:02],21.8,4.1
[04:16:03],25,4.1
[04:16:04],87.5,4.1
[04:16:05],40.6,4.1
[04:16:06],81.8,4.1
[04:16:07],63.6,4.1
[04:16:08],6.2,4.2
[04:16:09],62.5,4.2
[04:16:10],18.1,4.2
[04:16:11],18.7,4.2
[04:16:12],9,4.2
[04:16:13],9.3,4.2
[04:16:14],3.1,4.2
[04:16:15],0,4.2
[04:16:16],15.6,4.2
[04:16:17],80,4.2
[04:16:18],15.6,4.3
[04:16:19],0,4.3
[04:16:20],0,4.3
[04:16:21],0,4.4
[04:16:22],3,4.4
[04:16:23],0,4.4
[04:16:24],0,4.4
[04:16:25],0,4.4
[04:16:26],0,4.4
[04:16:27],40.6,4.5
[04:16:28],56.2,4.5
[04:16:29],50,4.5
[04:16:30],12.5,4.5
[04:16:31],3,4.5
[04:16:32],25,4.5
[04:16:33],15.6,4.5
[04:16:34],6,4.5
[04:16:35],48.4,4.5
[04:16:36],0,4.6
[04:16:37],15.6,4.6
[04:16:38],34.3,4.5
[04:16:39],12.5,4.6
[04:16:40],0,4.6
[04:16:41],15.6,4.6
[04:16:42],0,4.6
[04:16:43],31.2,4.6
[04:16:44],12.5,4.6
[04:16:45],0,4.7
[04:16:46],0,4.7
[04:16:47],0,4.7
[04:16:48],81.2,4.8
[04:16:49],0,4.3
[04:16:50],3.1,4.3
[04:16:51],12.1,4.3
[04:16:52],3,4.3
[04:16:53],24.2,4.2
[04:16:54],33.3,4.5
[04:16:55],0,4.5
[04:16:56],0,4.5
[04:16:56],54.5,4.5
[04:16:58],21.2,4.5
[04:16:59],46.8,4.5
[04:17:00],0,4.6
[04:17:01],0,4.6
[04:17:01],12.5,4.6
[04:17:02],0,4.6
[04:17:03],15.6,4.6
[04:17:04],40.6,4.6
[04:17:05],27.2,4.6
[04:17:06],0,4.6
[04:17:07],45.4,4.6
[04:17:08],9,4.6
[04:17:09],3.1,4.6
[04:17:10],3,4.7
[04:17:11],31.2,4.7
[04:17:12],12.1,4.7
[04:17:13],27.2,4.7
[04:17:14],3,4.7
[04:17:15],6,4.7
[04:17:16],18.7,4.7
[04:17:17],0,4.7
[04:17:18],9.3,4.8
[04:17:19],6,4.8
[04:17:20],27.2,4.8
[04:17:21],3.1,4.8
[04:17:22],0,4.8
[04:17:23],63.6,4.8
[04:17:24],27.2,4.8
[04:17:25],43.7,4.8
[04:17:26],21.8,4.9
[04:17:27],17.6,4.8
[04:17:28],34.3,4.8
[04:17:29],0,4.9
[04:17:30],12.1,4.9
[04:17:31],40.6,4.9
[04:17:32],0,4.9
[04:17:33],0,4.9
[04:17:34],50,4.9
[04:17:35],43.7,4.9
[04:17:36],3,4.9
[04:17:37],6,4.9
[04:17:38],18.7,4.9
[04:17:39],0,5
[04:17:40],21.8,5
[04:17:41],37.5,5
[04:17:42],40.6,5
[04:17:43],18.7,5
[04:17:44],59.3,5
[04:17:45],40.6,5
[04:17:46],59.3,5
[04:17:47],21.2,5
[04:17:48],6.2,5
[04:17:49],37.5,5
[04:17:50],31.2,5
[04:17:51],0,5.1
[04:17:52],67.6,5.1
[04:17:53],0,5.1
[04:17:54],23.5,5.1
[04:17:55],52.9,5.1
[04:17:56],3,5.1
[04:17:57],0,5.1
[04:17:58],18.7,5.1
[04:17:59],0,5.2
[04:18:00],6.2,5.2
[04:18:01],76.4,5.3
[04:18:02],0,5.3
[04:18:03],0,5.3
[04:18:04],51.5,5.3
[04:18:05],9,5.3
[04:18:06],43.7,5.3
[04:18:07],0,5.3
[04:18:08],100,5.3
[04:18:09],51.5,5.4
[04:18:10],45.4,5.5
[04:18:11],0,5.5
[04:18:12],66.6,5.5
[04:18:13],56.2,5.6
[04:18:14],9.3,5.6
[04:18:15],3.1,5.7
[04:18:16],12.5,5.7
[04:18:17],31.2,5.7
[04:18:18],15.6,5.7
[04:18:19],34.3,5.7
[04:18:20],21.2,5.7
[04:18:21],25,5.7
[04:18:22],3.1,5.8
[04:18:23],84.3,5.9
[04:18:24],9.3,5.4
[04:18:24],28.1,5.2
[04:18:25],9.3,5.1
[04:18:26],15.1,5.1
[04:18:27],0,5
[04:18:28],28.1,5
[04:18:29],3.1,5.1
[04:18:30],6.2,5.1
[04:18:31],0,5.1
