elapsetime,cpu%,mem%
[05:10:39],0,3.2
[05:10:40],0,3.2
[05:10:41],0,3.2
[05:10:42],0,3.2
[05:10:43],0,3.2
[05:10:44],18.1,3.3
[05:10:45],46.8,3.3
[05:10:46],93.7,3.3
[05:10:47],39.3,3.5
[05:10:48],42.4,3.5
[05:10:49],87.5,3.5
[05:10:50],165,3.5
[05:10:51],21.2,3.6
[05:10:52],3.1,3.6
[05:10:53],6.2,3.6
[05:10:54],127,3.7
[05:10:55],24.2,3.7
[05:10:56],118,3.7
[05:10:57],57.5,3.7
[05:10:58],45.4,3.8
[05:10:59],21.8,3.8
[05:11:00],50,3.8
[05:11:01],25,3.8
[05:11:02],43.7,3.8
[05:11:03],21.8,3.8
[05:11:04],27.2,3.8
[05:11:05],54.5,3.9
[05:11:06],34.3,3.6
[05:11:07],34.3,3.6
[05:11:08],68.7,3.6
[05:11:09],21.8,3.6
[05:11:10],78.1,3.6
[05:11:11],18.1,3.6
[05:11:12],30.3,3.6
[05:11:13],25,3.6
[05:11:14],18.1,3.6
[05:11:15],34.3,3.6
[05:11:16],21.8,3.6
[05:11:17],127,3.7
[05:11:18],21.8,3.8
[05:11:19],31.2,3.8
[05:11:20],18.1,3.9
[05:11:21],40.6,3.9
[05:11:22],81.2,3.9
[05:11:23],34.3,3.9
[05:11:24],18.1,3.9
[05:11:25],75.7,3.9
[05:11:26],21.2,4
[05:11:27],3.1,4
[05:11:28],3,4
[05:11:29],0,4
[05:11:30],9.3,4
[05:11:31],0,4
[05:11:32],0,4
[05:11:33],25,4
[05:11:34],0,4
[05:11:35],45.7,4.1
[05:11:36],0,4.1
[05:11:37],3.1,4.1
[05:11:38],27.2,4.1
[05:11:39],65.6,4.1
[05:11:40],71.8,4.1
[05:11:41],46.8,4.2
[05:11:42],9.3,4.2
[05:11:43],3.1,4.2
[05:11:43],15.6,4.2
[05:11:44],3.1,4.2
[05:11:45],0,4.2
[05:11:46],0,4.2
[05:11:47],25,4.2
[05:11:48],0,4.2
[05:11:49],9.3,4.3
[05:11:50],0,4.3
[05:11:51],3.1,4.3
[05:11:52],18.7,4.3
[05:11:53],15.6,4.3
[05:11:54],0,4.3
[05:11:55],0,4.3
[05:11:56],0,4.3
[05:11:57],0,4.4
[05:11:58],43.7,4.3
[05:11:59],6,4.4
[05:12:00],12.5,4.4
[05:12:01],53.1,4.4
[05:12:02],18.1,4.4
[05:12:03],0,4.4
[05:12:04],9.3,4.4
[05:12:05],9,4.4
[05:12:06],28.1,4.4
[05:12:07],3,4.4
[05:12:08],6.2,4.4
[05:12:09],6.2,4.4
[05:12:10],6,4.4
[05:12:11],34.3,4.5
[05:12:12],0,4.5
[05:12:13],6,4.5
[05:12:14],3.1,4.5
[05:12:15],0,4.5
[05:12:16],34.3,4.5
[05:12:17],12.5,4.5
[05:12:18],12.5,4.5
[05:12:19],0,4.5
[05:12:20],3.1,4.5
[05:12:21],18.7,4.5
[05:12:22],24.2,4.6
[05:12:23],46.8,4.6
[05:12:24],3.1,4.6
[05:12:25],31.2,4.6
[05:12:26],37.5,4.6
[05:12:27],12.1,4.6
[05:12:28],12.1,4.6
[05:12:29],37.5,4.6
[05:12:30],0,4.6
[05:12:31],6.2,4.6
[05:12:32],6,4.6
[05:12:33],25,4.6
[05:12:34],2.9,4.6
[05:12:35],40.6,4.7
[05:12:36],15.1,4.7
[05:12:37],6.2,4.7
[05:12:38],3.1,4.7
[05:12:39],0,4.7
[05:12:39],0,4.7
[05:12:40],0,4.7
[05:12:41],0,4.7
[05:12:42],50,4.7
[05:12:43],0,4.7
[05:12:44],42.4,4.7
[05:12:45],68.7,4.7
[05:12:46],21.8,4.8
[05:12:47],68.7,4.8
[05:12:48],0,4.8
[05:12:49],43.7,4.8
[05:12:50],3.1,4.8
[05:12:51],0,4.8
[05:12:52],0,4.8
[05:12:53],0,4.8
[05:12:54],6.2,4.8
[05:12:55],6.2,4.8
[05:12:56],12.1,4.8
[05:12:57],90.6,4.8
[05:12:58],37.5,4.9
[05:12:59],0,4.9
[05:13:00],65.6,4.9
[05:13:01],96.8,4.9
[05:13:02],21.2,5
[05:13:03],15.6,5
[05:13:04],0,5
[05:13:05],25,5
[05:13:06],138,5.1
[05:13:07],43.7,4.6
[05:13:08],9.3,4.5
[05:13:09],115,4.5
[05:13:10],0,4.6
[05:13:11],46.8,4.6
[05:13:12],0,4.6
[05:13:13],48.4,4.7
[05:13:14],111,4.7
[05:13:15],43.7,4.7
[05:13:16],0,4.8
[05:13:17],0,4.8
[05:13:18],0,4.8
[05:13:19],84.3,4.8
[05:13:20],0,4.8
[05:13:21],15.6,4.8
[05:13:22],37.5,4.8
[05:13:23],28.1,4.8
[05:13:24],37.5,4.8
[05:13:25],53.1,4.8
[05:13:26],39.3,4.8
[05:13:27],25,4.9
[05:13:28],0,4.9
[05:13:29],0,4.9
[05:13:30],0,4.9
[05:13:31],12.5,5
[05:13:32],15.6,5
[05:13:33],9.3,5
[05:13:34],37.5,5
[05:13:35],9.3,5
[05:13:36],0,5.1
[05:13:37],0,5.1
[05:13:38],25,5.1
[05:13:39],0,5.1
[05:13:40],12.5,5.1
[05:13:41],3.1,5.1
[05:13:42],3.1,5.1
[05:13:43],0,5.1
[05:13:44],0,5.1
